time,symbol,event,position_id,deal_id,side,volume,price,sl,tp,ema9,ema21,rsi,spread_pts,profit,reason
2026-05-01T19:24:57Z,XAUUSD,OPEN,56487689667,56176094245,BUY,0.01,4626.82000,4625.62000,4627.42000,4626.39559,4625.52223,59.03,17,0.00,"opened"
2026-05-01T19:25:18Z,XAUUSD,CLOSE,56487689667,56176097904,SELL,0.01,4626.85000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T19:25:57Z,XAUUSD,OPEN,56487698201,56176102476,BUY,0.01,4627.61000,4626.41000,4628.21000,4626.60447,4625.69657,62.55,17,0.00,"opened"
2026-05-01T19:28:10Z,XAUUSD,CLOSE,56487698201,56176118573,SELL,0.01,4626.41000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.21,"deal_close"
2026-05-01T19:30:57Z,XAUUSD,OPEN,56487747099,56176149766,SELL,0.01,4622.35000,4623.55000,4621.75000,4625.32694,4625.43342,36.20,15,0.00,"opened"
2026-05-01T19:31:26Z,XAUUSD,CLOSE,56487747099,56176155959,BUY,0.01,4621.74000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:31:57Z,XAUUSD,OPEN,56487759503,56176161710,SELL,0.01,4622.06000,4623.26000,4621.46000,4624.67355,4625.12675,35.22,17,0.00,"opened"
2026-05-01T19:32:14Z,XAUUSD,CLOSE,56487759503,56176164210,BUY,0.01,4621.46000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:32:57Z,XAUUSD,OPEN,56487773803,56176175665,SELL,0.01,4619.10000,4620.30000,4618.50000,4623.55884,4624.57886,27.13,17,0.00,"opened"
2026-05-01T19:33:29Z,XAUUSD,CLOSE,56487773803,56176182227,BUY,0.01,4618.44000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:33:57Z,XAUUSD,OPEN,56487788120,56176189620,SELL,0.01,4617.40000,4618.60000,4616.80000,4622.32707,4623.92624,23.75,15,0.00,"opened"
2026-05-01T19:34:11Z,XAUUSD,CLOSE,56487788120,56176192793,BUY,0.01,4617.38000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T19:35:57Z,XAUUSD,OPEN,56487814628,56176215199,SELL,0.01,4616.73000,4617.93000,4616.13000,4620.55613,4622.80358,25.52,17,0.00,"opened"
2026-05-01T19:36:02Z,XAUUSD,CLOSE,56487814628,56176216591,BUY,0.01,4616.13000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:36:57Z,XAUUSD,OPEN,56487830736,56176230869,SELL,0.01,4615.59000,4616.79000,4614.99000,4619.56290,4622.14780,23.52,13,0.00,"opened"
2026-05-01T19:37:07Z,XAUUSD,CLOSE,56487830736,56176233226,BUY,0.01,4616.79000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.11,"deal_close"
2026-05-01T19:39:57Z,XAUUSD,OPEN,56487862721,56176261511,SELL,0.01,4617.24000,4618.44000,4616.64000,4618.51381,4620.96788,33.82,17,0.00,"opened"
2026-05-01T19:40:11Z,XAUUSD,CLOSE,56487862721,56176263499,BUY,0.01,4616.69000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:40:57Z,XAUUSD,OPEN,56487873361,56176271830,SELL,0.01,4615.80000,4617.00000,4615.20000,4617.97104,4620.49807,30.53,7,0.00,"opened"
2026-05-01T19:41:06Z,XAUUSD,CLOSE,56487873361,56176273654,BUY,0.01,4615.20000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:41:57Z,XAUUSD,OPEN,56487885533,56176283545,SELL,0.01,4614.92000,4616.12000,4614.32000,4617.36684,4619.99370,28.76,17,0.00,"opened"
2026-05-01T19:42:03Z,XAUUSD,CLOSE,56487885533,56176284891,BUY,0.01,4614.80000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T19:42:57Z,XAUUSD,OPEN,56487900808,56176298712,SELL,0.01,4612.10000,4613.30000,4611.50000,4616.31347,4619.27609,23.77,17,0.00,"opened"
2026-05-01T19:43:05Z,XAUUSD,CLOSE,56487900808,56176301835,BUY,0.01,4612.12000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T19:44:57Z,XAUUSD,OPEN,56487925972,56176323276,SELL,0.01,4611.88000,4613.08000,4611.28000,4614.87582,4618.07429,25.72,16,0.00,"opened"
2026-05-01T19:45:20Z,XAUUSD,CLOSE,56487925972,56176328322,BUY,0.01,4611.52000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.17,"deal_close"
2026-05-01T19:47:57Z,XAUUSD,OPEN,56487957936,56176354152,SELL,0.01,4613.31000,4614.51000,4612.71000,4613.98210,4616.81082,33.18,17,0.00,"opened"
2026-05-01T19:48:30Z,XAUUSD,CLOSE,56487957936,56176359076,BUY,0.01,4614.51000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.20,"deal_close"
2026-05-01T19:50:57Z,XAUUSD,OPEN,56487988349,56176383474,SELL,0.01,4612.58000,4613.78000,4611.98000,4613.82140,4616.04388,33.68,17,0.00,"opened"
2026-05-01T19:52:10Z,XAUUSD,CLOSE,56487988349,56176393617,BUY,0.01,4611.98000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:52:57Z,XAUUSD,OPEN,56488011764,56176406550,SELL,0.01,4609.78000,4610.98000,4609.18000,4612.77769,4615.16915,27.59,4,0.00,"opened"
2026-05-01T19:53:03Z,XAUUSD,CLOSE,56488011764,56176409600,BUY,0.01,4609.38000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.38,"deal_close"
2026-05-01T19:56:57Z,XAUUSD,OPEN,56488058558,56176451513,SELL,0.01,4610.75000,4611.95000,4610.15000,4611.69600,4613.82238,34.31,17,0.00,"opened"
